1,2
993348586,790000
993348589,690000
993348599,690000
993390086,690000
993977479,690000
994250086,690000
994267345,690000
994268288,990000
994268299,990000
995238399,950000
995886223,450000
995886299,450000
995886386,450000
995886826,450000
995886836,450000
995887299,450000
995887386,450000
995887828,450000
995887838,450000
995960234,690000
996010110,1660000
996013579,12000000
996020220,1660000
996039698,1110000
996039699,1440000
996057779,2200000
996063339,2650000
996073339,1780000
996079998,2900000
996098899,3450000
996107779,2200000
996108886,6000000
996116696,1290000
996133939,7450000
996138338,2650000
996151551,1660000
996173339,1780000
996178889,2900000
996202802,1290000
996202808,1450000
996202818,980000
996202829,1660000
996202858,980000
996202902,1290000
996202909,1450000
996202920,1660000
996202928,1290000
996202949,980000
996202969,1140000
996203020,1660000
996203039,1450000
996203070,1660000
996203079,1660000
996203080,1630000
996203090,1900000
996203103,890000
996203123,1290000
996203139,1140000
996203200,980000
996203201,890000
996203202,1040000
996203205,1140000
996203206,1140000
996203207,1140000
996203208,1140000
996203209,1290000
996203222,980000
996203230,1660000
996203234,1780000
996203302,1660000
996203303,1450000
996203379,1660000
996203403,1140000
996203468,1450000
996203503,1140000
996203520,820000
996203603,1140000
996203620,1140000
996203637,820000
996203639,1140000
996203703,1140000
996203803,1140000
996203820,1450000
996203839,1660000
996203938,980000
996204000,1290000
996204020,1660000
996204030,1450000
996204070,1660000
996204079,1660000
996204090,1900000
996204200,980000
996204202,1040000
996204203,1040000
996204206,1140000
996204208,1290000
996204222,980000
996204234,2200000
996204239,1450000
996204279,1450000
996204304,1290000
996204339,980000
996204345,1450000
996205444,980000
996205502,1660000
996205505,1660000
996205605,1140000
996205620,1140000
996205679,2200000
996205705,1140000
996205805,1140000
996205820,820000
996205905,1140000
996205920,820000
996309125,440000
996309127,470000
996309130,440000
996309131,550000
996309132,470000
996309133,550000
996309134,470000
996309135,470000
996309139,1900000
996309140,440000
996309141,550000
996309142,470000
996309143,480000
996309144,540000
996309146,470000
996309147,470000
996309148,470000
996309151,550000
996309152,470000
996309153,480000
996309154,470000
996309155,550000
996309161,550000
996309163,3450000
996309166,1450000
996309168,2900000
996309169,980000
996309171,550000
996309175,440000
996309176,440000
996309177,550000
996309179,1450000
996309182,440000
996309184,440000
996309185,440000
996309186,1660000
996309187,480000
996309188,1450000
996309190,1450000
996309192,820000
996309193,820000
996309194,670000
996309195,670000
996309196,730000
996309197,820000
996309198,980000
996309199,1660000
996309210,480000
996309213,480000
996309214,440000
996309215,440000
996309216,440000
996309217,440000
996309222,1600000
996309225,540000
996309226,550000
996309227,550000
996309228,540000
996309232,550000
996309233,550000
996309234,1600000
996309237,540000
996309238,550000
996309239,1900000
996309242,550000
996309244,550000
996309246,580000
996309248,540000
996309252,550000
996309255,550000
996309262,550000
996309263,3450000
996309266,1450000
996309268,2200000
996309272,550000
996309277,540000
996309278,550000
996309279,1900000
996309282,550000
